FINGERPRINT,FINGERPRINT_NO_ABBR,EXPECTED
IN-VITRO Treatment (IVF),IN-VITRO Treatment,IN-VITRO FERTILIZATION (IVF)
Planned impregnation (AI),Planned impregnation,ARTIFICIAL INSEMINATION (AI)
Man-made reasoning (AI),Man-made reasoning,ARTIFICIAL INTELLIGENCE (AI)
Casting a ballot Exhortation APPLICATIONS (VAAS),Casting a ballot Exhortation APPLICATIONS,VOTING ADVICE APPLICATIONS (VAAS)
Esteem ADDED Expense (VAT),Esteem ADDED Expense,VALUE ADDED TAX (VAT)
EUROPEAN Association (EU),EUROPEAN Association,EUROPEAN UNION (EU)
HUMAN IMMUNODEFICIENCY Infection (HIV),HUMAN IMMUNODEFICIENCY Infection,HUMAN IMMUNODEFICIENCY VIRUS (HIV)
HUMAN IMMUNODEFICIENCY Infections (HIV),HUMAN IMMUNODEFICIENCY Infections,HUMAN IMMUNODEFICIENCY VIRUSES (HIV)
Neighborhood Instruction Specialists (LEAS),Neighborhood Instruction Specialists,LOCAL EDUCATION AUTHORITIES (LEAS)
Innovative work (R&D),Innovative work,RESEARCH AND DEVELOPMENT (R&D)
GENERAL Professionals (GPS),GENERAL Professionals,GENERAL PRACTITIONERS (GPS)
UNIDENTIFIED FLYING Items (UFOS),UNIDENTIFIED FLYING Items,UNIDENTIFIED FLYING OBJECTS (UFOS)
Physically Sent Infections (STD),Physically Sent Infections,SEXUALLY TRANSMITTED DISEASES (STD)
Physically Sent Contaminations (STI),Physically Sent Contaminations,SEXUALLY TRANSMITTED INFECTIONS (STI)
VENEREAL Illnesses (VD),VENEREAL Illnesses,VENEREAL DISEASES (VD)
Serious Intense RESPIRATORY Disorder Covid 2 (COVID-19),Serious Intense RESPIRATORY Disorder Covid 2,SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS-2 (COVID-19)
Shut CIRCUIT TV (CCTV),Shut CIRCUIT TV,CLOSED-CIRCUIT TELEVISION (CCTV)
PUBLIC Area Acquiring Prerequisite (PSBR),PUBLIC Area Acquiring Prerequisite,PUBLIC SECTOR BORROWING REQUIREMENT (PSBR)
INTRAUTERINE Gadgets (IUD),INTRAUTERINE Gadgets,INTRAUTERINE DEVICES (IUD)
INTRA-UTERINE Gadgets (IUD),INTRA-UTERINE Gadgets,INTRA-UTERINE DEVICES (IUD)
NORTH ATLANTIC Deal Association (NATO),NORTH ATLANTIC Deal Association,NORTH ATLANTIC TREATY ORGANIZATION (NATO)
Data AND Interchanges Innovation (ICT),Data AND Interchanges Innovation,INFORMATION AND COMMUNICATIONS TECHNOLOGY (ICT)
Data Innovation (IT),Data Innovation,INFORMATION TECHNOLOGY (IT)
Chemical Substitution Treatment (HRT),Chemical Substitution Treatment,HORMONE REPLACEMENT THERAPY (HRT)
Extraordinary Instructive Necessities (SEN),Extraordinary Instructive Necessities,SPECIAL EDUCATIONAL NEEDS (SEN)
Extraordinary Instructive Necessities AND Incapacities (SEND),Extraordinary Instructive Necessities AND Incapacities,SPECIAL EDUCATIONAL NEEDS AND DISABILITIES (SEND)
Elective Question Goal (ADR),Elective Question Goal,ALTERNATIVE DISPUTE RESOLUTION (ADR)
EUROPEAN Money related Framework (EMS),EUROPEAN Money related Framework,EUROPEAN MONETARY SYSTEM (EMS)
Public Wellbeing Administration (NHS),Public Wellbeing Administration,NATIONAL HEALTH SERVICE (NHS)
Ox-like SPONGIFORM ENCEPHALOPATHY (BSE),Ox-like SPONGIFORM ENCEPHALOPATHY,BOVINE SPONGIFORM ENCEPHALOPATHY (BSE)
Ox-like SPONGIFORM ENCEPHALITIS (BSE),Ox-like SPONGIFORM ENCEPHALITIS,BOVINE SPONGIFORM ENCEPHALITIS (BSE)
CHORIONIC VILLUS Examining (CVS),CHORIONIC VILLUS Examining,CHORIONIC VILLUS SAMPLING (CVS)
Worldwide Money related Asset (IMF),Worldwide Money related Asset,INTERNATIONAL MONETARY FUND (IMF)
EUROPEAN Financial People group (EEC),EUROPEAN Financial People group,EUROPEAN ECONOMIC COMMUNITY (EEC)
RETAIL Value Record (RPI),RETAIL Value Record,RETAIL PRICE INDEX (RPI)
CROSS-Boundary Participation (CBC),CROSS-Boundary Participation,CROSS-BORDER COOPERATION (CBC)
CROSS-Boundary CO-Activity (CBC),CROSS-Boundary CO-Activity,CROSS-BORDER CO-OPERATION (CBC)
EUROPEAN Financial AND Money related Association (EMU),EUROPEAN Financial AND Money related Association,EUROPEAN ECONOMIC AND MONETARY UNION (EMU)
NON-Administrative Associations (NGOS),NON-Administrative Associations,NON-GOVERNMENTAL ORGANIZATIONS (NGOS)
Confidential Willful Associations (PVOS),Confidential Willful Associations,PRIVATE VOLUNTARY ORGANIZATIONS (PVOS)
Instructive Upkeep Recompense (EMA),Instructive Upkeep Recompense,EDUCATIONAL MAINTENANCE ALLOWANCE (EMA)
GROSS Public Item (GNP),GROSS Public Item,GROSS NATIONAL PRODUCT (GNP)
EXTRASENSORY Discernment (ESP),EXTRASENSORY Discernment,EXTRASENSORY PERCEPTION (ESP)
EXTRA-Tactile Insight (ESP),EXTRA-Tactile Insight,EXTRA-SENSORY PERCEPTION (ESP)
CONFEDERATION OF English INDUSTRY (CBI),CONFEDERATION OF English INDUSTRY,CONFEDERATION OF BRITISH INDUSTRY (CBI)
Mechanized TELLER MACHINES (ATMS),Mechanized TELLER MACHINES,AUTOMATED TELLER MACHINES (ATMS)
Programmed TELLER MACHINES (ATMS),Programmed TELLER MACHINES,AUTOMATIC TELLER MACHINES (ATMS)
Destinations OF Exceptional Logical INTEREST (SSSI),Destinations OF Exceptional Logical INTEREST,SITES OF SPECIAL SCIENTIFIC INTEREST (SSSI)
Courtroom OF THE EUROPEAN Association (CJEU),Courtroom OF THE EUROPEAN Association,COURT OF JUSTICE OF THE EUROPEAN UNION (CJEU)
EUROPEAN Courtroom (ECJ),EUROPEAN Courtroom,EUROPEAN COURT OF JUSTICE (ECJ)
Normal Rural Arrangement (CAP),Normal Rural Arrangement,COMMON AGRICULTURAL POLICY (CAP)
PC Supported Arranging (CAP),PC Supported Arranging,COMPUTER AIDED PLANNING (CAP)
EUROPEAN Swapping scale Component (ERM),EUROPEAN Swapping scale Component,EUROPEAN EXCHANGE RATE MECHANISM (ERM)
CEREBROVASCULAR Mishaps (CVA),CEREBROVASCULAR Mishaps,CEREBROVASCULAR ACCIDENTS (CVA)
CROWN Indictment Administration (CPS),CROWN Indictment Administration,CROWN PROSECUTION SERVICE (CPS)
ASIA PACIFIC Monetary Collaboration (APEC),ASIA PACIFIC Monetary Collaboration,ASIA PACIFIC ECONOMIC COOPERATION (APEC)
Relationship OF SOUTHEAST ASIAN Countries (ASEAN),Relationship OF SOUTHEAST ASIAN Countries,ASSOCIATION OF SOUTHEAST ASIAN NATIONS (ASEAN)
Consideration Deficiency/HYPERACTIVITY Problem (ADHD),Consideration Deficiency/HYPERACTIVITY Problem,ATTENTION-DEFICIT/HYPERACTIVITY DISORDER (ADHD)
English Telecom Organization (BBC),English Telecom Organization,BRITISH BROADCASTING CORPORATION (BBC)
Link NEWS Organization (CNN),Link NEWS Organization,CABLE NEWS NETWORK (CNN)
Focal EUROPEAN International alliance (CEFTA),Focal EUROPEAN International alliance,CENTRAL EUROPEAN FREE TRADE AGREEMENT (CEFTA)
Focal Insight Organization (CIA),Focal Insight Organization,CENTRAL INTELLIGENCE AGENCY (CIA)
COMMISSION ON SECURITY AND Collaboration IN EUROPE (CSCE),COMMISSION ON SECURITY AND Collaboration IN EUROPE,COMMISSION ON SECURITY AND COOPERATION IN EUROPE (CSCE)
Normal Unfamiliar AND SECURITY Strategy (CFSP),Normal Unfamiliar AND SECURITY Strategy,COMMON FOREIGN AND SECURITY POLICY (CFSP)
Normal SECURITY AND Guard Strategy (CSDP),Normal SECURITY AND Guard Strategy,COMMON SECURITY AND DEFENSE POLICY (CSDP)
Minimal Circle (CD),Minimal Circle,COMPACT DISC (CD)
PC Helped QUALITY CONTROL (CAQ),PC Helped QUALITY CONTROL,COMPUTER AIDED QUALITY CONTROL (CAQ)
PC Incorporated Assembling (CIM),PC Incorporated Assembling,COMPUTER INTEGRATED MANUFACTURING (CIM)
PC Helped Plan (CAD),PC Helped Plan,COMPUTER-AIDED DESIGN (CAD)
PC Helped Assembling (CAM),PC Helped Assembling,COMPUTER-AIDED MANUFACTURING (CAM)
PC Helped TESTING (CAT),PC Helped TESTING,COMPUTER-AIDED TESTING (CAT)
Automated Mathematical CONTROL (CNC),Automated Mathematical CONTROL,COMPUTERIZED NUMERICAL CONTROL (CNC)
Board FOR Shared Monetary Guide (COMECON),Board FOR Shared Monetary Guide,COUNCIL FOR MUTUAL ECONOMIC AID (COMECON)
Computerized Flexible Circle (DVD),Computerized Flexible Circle,DIGITAL VERSATILE DISC (DVD)
EUROPEAN Telecom Association (EBU),EUROPEAN Telecom Association,EUROPEAN BROADCASTING UNION (EBU)
EUROPEAN National BANK (ECB),EUROPEAN National BANK,EUROPEAN CENTRAL BANK (ECB)
EUROPEAN Cash Framework (ECS),EUROPEAN Cash Framework,EUROPEAN CURRENCY SYSTEM (ECS)
EUROPEAN Speculation BANK (EIB),EUROPEAN Speculation BANK,EUROPEAN INVESTMENT BANK (EIB)
EUROPEAN Money related Foundation (EMI),EUROPEAN Money related Foundation,EUROPEAN MONETARY INSTITUTE (EMI)
EUROPEAN People group (EC),EUROPEAN People group,EUROPEAN COMMUNITY (EC)
EUROPEAN Financial AND Money related Association (EEMU),EUROPEAN Financial AND Money related Association,EUROPEAN ECONOMIC AND MONETARY UNION (EEMU)
EUROPEAN Financial Region (EEA),EUROPEAN Financial Region,EUROPEAN ECONOMIC AREA (EEA)
EUROPEAN Streamlined commerce Affiliation (EFTA),EUROPEAN Streamlined commerce Affiliation,EUROPEAN FREE TRADE ASSOCIATION (EFTA)
EUROPEAN SECURITY AND Protection Strategy (ESDP),EUROPEAN SECURITY AND Protection Strategy,EUROPEAN SECURITY AND DEFENCE POLICY (ESDP)
EUROPEAN SOCIAL Review (ESS),EUROPEAN SOCIAL Review,EUROPEAN SOCIAL SURVEY (ESS)
EUROPEAN Qualities STUDY (EVS),EUROPEAN Qualities STUDY,EUROPEAN VALUES STUDY (EVS)
FOOD AND Rural Association (FAO),FOOD AND Rural Association,FOOD AND AGRICULTURAL ORGANIZATION (FAO)
GENERAL Settlement ON Duties AND Exchange (GATT),GENERAL Settlement ON Duties AND Exchange,GENERAL AGREEMENT ON TARIFFS AND TRADE (GATT)
GENERAL Settlement ON Exchange Administrations (GATS),GENERAL Settlement ON Exchange Administrations,GENERAL AGREEMENT ON TRADE IN SERVICES (GATS)
Gathering OF EIGHT (G8),Gathering OF EIGHT,GROUP OF EIGHT (G8)
GERMAN Humanistic Affiliation (GSA),GERMAN Humanistic Affiliation,GERMAN SOCIOLOGICAL ASSOCIATION (GSA)
Coordinated Administrations Advanced Organization (ISDN),Coordinated Administrations Advanced Organization,INTEGRATED SERVICES DIGITAL NETWORK (ISDN)
Worldwide Organization OF Worker's guilds (IFTU),Worldwide Organization OF Worker's guilds,INTERNATIONAL FEDERATION OF TRADE UNIONS (IFTU)
Worldwide Work OFFICE (ILO),Worldwide Work OFFICE,INTERNATIONAL LABOR OFFICE (ILO)
Worldwide Work Association (ILO),Worldwide Work Association,INTERNATIONAL LABOUR ORGANIZATION (ILO)
Worldwide SOCIAL Study Program (ISSP),Worldwide SOCIAL Study Program,INTERNATIONAL SOCIAL SURVEY PROGRAMME (ISSP)
Web Company FOR Allocated NAMES AND NUMBERS (ICANN),Web Company FOR Allocated NAMES AND NUMBERS,INTERNET CORPORATION FOR ASSIGNED NAMES AND NUMBERS (ICANN)
IRISH Conservative Armed force (IRA),IRISH Conservative Armed force,IRISH REPUBLICAN ARMY (IRA)
Worldwide Humanistic Affiliation (ISA),Worldwide Humanistic Affiliation,INTERNATIONAL SOCIOLOGICAL ASSOCIATION (ISA)
LIBERAL Discussion (LIF),LIBERAL Discussion,LIBERAL FORUM (LIF)
Shared Adjusted Powers Decrease (MBFR),Shared Adjusted Powers Decrease,MUTUAL BALANCED FORCES REDUCTION (MBFR)
NON-Administrative Association (NGO),NON-Administrative Association,NON-GOVERNMENTAL ORGANIZATION (NGO)
NORTH AMERICAN Streamlined commerce Affiliation (NAFTA),NORTH AMERICAN Streamlined commerce Affiliation,NORTH AMERICAN FREE TRADE ASSOCIATION (NAFTA)
Association FOR SECURITY AND Collaboration IN EUROPE (OSCE),Association FOR SECURITY AND Collaboration IN EUROPE,ORGANIZATION FOR SECURITY AND COOPERATION IN EUROPE (OSCE)
Association OF AFRICAN Solidarity (OAU),Association OF AFRICAN Solidarity,ORGANIZATION OF AFRICAN UNITY (OAU)
Association OF AMERICAN STATES (OAS),Association OF AMERICAN STATES,ORGANIZATION OF AMERICAN STATES (OAS)
Association OF Petrol Trading Nations (OPEC),Association OF Petrol Trading Nations,ORGANIZATION OF PETROLEUM EXPORTING COUNTRIES (OPEC)
PALESTINE Freedom Association (PLO),PALESTINE Freedom Association,PALESTINE LIBERATION ORGANIZATION (PLO)
PARTY OF Majority rule Communism (PDS),PARTY OF Majority rule Communism,PARTY OF DEMOCRATIC SOCIALISM (PDS)
Program FOR Worldwide Understudy Evaluation (PISA),Program FOR Worldwide Understudy Evaluation,PROGRAMME FOR INTERNATIONAL STUDENT ASSESSMENT (PISA)
RED ARMEE Portion (RAF),RED ARMEE Portion,RED ARMEE FRACTION (RAF)
SHORT MESSAGE Administration (SMS),SHORT MESSAGE Administration,SHORT MESSAGE SERVICE (SMS)
Financial Board (SOEP),Financial Board,SOCIO-ECONOMIC PANEL (SOEP)
SOUTHERN AFRICA Improvement People group (SADC),SOUTHERN AFRICA Improvement People group,SOUTHERN AFRICA DEVELOPMENT COMMUNITY (SADC)
Vital Guard Drive (SDI),Vital Guard Drive,STRATEGIC DEFENSE INITIATIVE (SDI)
SWISS Telecom Organization (SRG),SWISS Telecom Organization,SWISS BROADCASTING COMPANY (SRG)
Joined Countries HIGH Official FOR Outcasts (UNHCR),Joined Countries HIGH Official FOR Outcasts,UNITED NATIONS HIGH COMMISSIONER FOR REFUGEES (UNHCR)
Joined Countries Modern Improvement Association (UNIDO),Joined Countries Modern Improvement Association,UNITED NATIONS INDUSTRIAL DEVELOPMENT ORGANIZATION (UNIDO)
WESTERN EUROPEAN Association (WEU),WESTERN EUROPEAN Association,WESTERN EUROPEAN UNION (WEU)
WORLD Wellbeing Association (WHO),WORLD Wellbeing Association,WORLD HEALTH ORGANIZATION (WHO)
WORLD Exchange Association (WTO),WORLD Exchange Association,WORLD TRADE ORGANIZATION (WTO)
